$ loadtest -c 1000 http://localhost:3000/
[Wed Aug 10 2016 03:04:47 GMT+0300 (Беларусь (зима))] INFO Errors: 213, accumulated errors: 5645, 2.3% of total requests
[Wed Aug 10 2016 03:04:52 GMT+0300 (Беларусь (зима))] INFO Requests: 252485, requests per second: 2256, mean latency: 440 ms
[Wed Aug 10 2016 03:04:52 GMT+0300 (Беларусь (зима))] INFO Errors: 134, accumulated errors: 5779, 2.3% of total requests
[Wed Aug 10 2016 03:04:57 GMT+0300 (Беларусь (зима))] INFO Requests: 262459, requests per second: 1988, mean latency: 510 ms
[Wed Aug 10 2016 03:04:57 GMT+0300 (Беларусь (зима))] INFO Errors: 296, accumulated errors: 6075, 2.3% of total requests
[Wed Aug 10 2016 03:05:02 GMT+0300 (Беларусь (зима))] INFO Requests: 271947, requests per second: 1904, mean latency: 530 ms
[Wed Aug 10 2016 03:05:02 GMT+0300 (Беларусь (зима))] INFO Errors: 77, accumulated errors: 6152, 2.3% of total requests
[Wed Aug 10 2016 03:05:07 GMT+0300 (Беларусь (зима))] INFO Requests: 282599, requests per second: 2132, mean latency: 460 ms
[Wed Aug 10 2016 03:05:07 GMT+0300 (Беларусь (зима))] INFO Errors: 57, accumulated errors: 6209, 2.2% of total requests
[Wed Aug 10 2016 03:05:12 GMT+0300 (Беларусь (зима))] INFO Requests: 292629, requests per second: 2007, mean latency: 510 ms
[Wed Aug 10 2016 03:05:12 GMT+0300 (Беларусь (зима))] INFO Errors: 62, accumulated errors: 6271, 2.1% of total requests
[Wed Aug 10 2016 03:05:17 GMT+0300 (Беларусь (зима))] INFO Requests: 302411, requests per second: 1957, mean latency: 510 ms
[Wed Aug 10 2016 03:05:17 GMT+0300 (Беларусь (зима))] INFO Errors: 484, accumulated errors: 6755, 2.2% of total requests
[Wed Aug 10 2016 03:05:22 GMT+0300 (Беларусь (зима))] INFO Requests: 313565, requests per second: 2224, mean latency: 450 ms
[Wed Aug 10 2016 03:05:22 GMT+0300 (Беларусь (зима))] INFO Errors: 204, accumulated errors: 6959, 2.2% of total requests
[Wed Aug 10 2016 03:05:27 GMT+0300 (Беларусь (зима))] INFO Requests: 322842, requests per second: 1854, mean latency: 520 ms
[Wed Aug 10 2016 03:05:27 GMT+0300 (Беларусь (зима))] INFO Errors: 159, accumulated errors: 7118, 2.2% of total requests
[Wed Aug 10 2016 03:05:32 GMT+0300 (Беларусь (зима))] INFO Requests: 333087, requests per second: 2042, mean latency: 490 ms
[Wed Aug 10 2016 03:05:32 GMT+0300 (Беларусь (зима))] INFO Errors: 238, accumulated errors: 7356, 2.2% of total requests
[Wed Aug 10 2016 03:05:37 GMT+0300 (Беларусь (зима))] INFO Requests: 343416, requests per second: 2074, mean latency: 500 ms
[Wed Aug 10 2016 03:05:37 GMT+0300 (Беларусь (зима))] INFO Errors: 65, accumulated errors: 7421, 2.2% of total requests
[Wed Aug 10 2016 03:05:42 GMT+0300 (Беларусь (зима))] INFO Requests: 352609, requests per second: 1843, mean latency: 540 ms
[Wed Aug 10 2016 03:05:42 GMT+0300 (Беларусь (зима))] INFO Errors: 135, accumulated errors: 7556, 2.1% of total requests
[Wed Aug 10 2016 03:05:47 GMT+0300 (Беларусь (зима))] INFO Requests: 363338, requests per second: 2148, mean latency: 460 ms
[Wed Aug 10 2016 03:05:47 GMT+0300 (Беларусь (зима))] INFO Errors: 350, accumulated errors: 7906, 2.2% of total requests
[Wed Aug 10 2016 03:05:52 GMT+0300 (Беларусь (зима))] INFO Requests: 373388, requests per second: 2010, mean latency: 510 ms
[Wed Aug 10 2016 03:05:52 GMT+0300 (Беларусь (зима))] INFO Errors: 120, accumulated errors: 8026, 2.1% of total requests
[Wed Aug 10 2016 03:05:57 GMT+0300 (Беларусь (зима))] INFO Requests: 383389, requests per second: 1990, mean latency: 500 ms
[Wed Aug 10 2016 03:05:57 GMT+0300 (Беларусь (зима))] INFO Errors: 153, accumulated errors: 8179, 2.1% of total requests
[Wed Aug 10 2016 03:06:02 GMT+0300 (Беларусь (зима))] INFO Requests: 395092, requests per second: 2339, mean latency: 430 ms
[Wed Aug 10 2016 03:06:02 GMT+0300 (Беларусь (зима))] INFO Errors: 431, accumulated errors: 8610, 2.2% of total requests
[Wed Aug 10 2016 03:06:07 GMT+0300 (Беларусь (зима))] INFO Requests: 404915, requests per second: 1973, mean latency: 500 ms
[Wed Aug 10 2016 03:06:07 GMT+0300 (Беларусь (зима))] INFO Errors: 64, accumulated errors: 8674, 2.1% of total requests
[Wed Aug 10 2016 03:06:12 GMT+0300 (Беларусь (зима))] INFO Requests: 415020, requests per second: 2004, mean latency: 490 ms
[Wed Aug 10 2016 03:06:12 GMT+0300 (Беларусь (зима))] INFO Errors: 248, accumulated errors: 8922, 2.1% of total requests
[Wed Aug 10 2016 03:06:17 GMT+0300 (Беларусь (зима))] INFO Requests: 426745, requests per second: 2357, mean latency: 440 ms
[Wed Aug 10 2016 03:06:17 GMT+0300 (Беларусь (зима))] INFO Errors: 257, accumulated errors: 9179, 2.2% of total requests
[Wed Aug 10 2016 03:06:22 GMT+0300 (Беларусь (зима))] INFO Requests: 436602, requests per second: 1984, mean latency: 490 ms
[Wed Aug 10 2016 03:06:22 GMT+0300 (Беларусь (зима))] INFO Errors: 160, accumulated errors: 9339, 2.1% of total requests
[Wed Aug 10 2016 03:06:27 GMT+0300 (Беларусь (зима))] INFO Requests: 447992, requests per second: 2266, mean latency: 430 ms
[Wed Aug 10 2016 03:06:27 GMT+0300 (Беларусь (зима))] INFO Errors: 274, accumulated errors: 9613, 2.1% of total requests
[Wed Aug 10 2016 03:06:32 GMT+0300 (Беларусь (зима))] INFO Requests: 456482, requests per second: 1691, mean latency: 610 ms
[Wed Aug 10 2016 03:06:32 GMT+0300 (Беларусь (зима))] INFO Errors: 59, accumulated errors: 9672, 2.1% of total requests
[Wed Aug 10 2016 03:06:37 GMT+0300 (Беларусь (зима))] INFO Requests: 465535, requests per second: 1793, mean latency: 540 ms
[Wed Aug 10 2016 03:06:37 GMT+0300 (Беларусь (зима))] INFO Errors: 60, accumulated errors: 9732, 2.1% of total requests
[Wed Aug 10 2016 03:06:42 GMT+0300 (Беларусь (зима))] INFO Requests: 475756, requests per second: 2074, mean latency: 510 ms
[Wed Aug 10 2016 03:06:42 GMT+0300 (Беларусь (зима))] INFO Errors: 554, accumulated errors: 10286, 2.2% of total requests
[Wed Aug 10 2016 03:06:47 GMT+0300 (Беларусь (зима))] INFO Requests: 484228, requests per second: 1702, mean latency: 560 ms
[Wed Aug 10 2016 03:06:47 GMT+0300 (Беларусь (зима))] INFO Errors: 71, accumulated errors: 10357, 2.1% of total requests
[Wed Aug 10 2016 03:06:52 GMT+0300 (Беларусь (зима))] INFO Requests: 494965, requests per second: 2148, mean latency: 460 ms
[Wed Aug 10 2016 03:06:52 GMT+0300 (Беларусь (зима))] INFO Errors: 215, accumulated errors: 10572, 2.1% of total requests
[Wed Aug 10 2016 03:06:57 GMT+0300 (Беларусь (зима))] INFO Requests: 504330, requests per second: 1873, mean latency: 550 ms
[Wed Aug 10 2016 03:06:57 GMT+0300 (Беларусь (зима))] INFO Errors: 347, accumulated errors: 10919, 2.2% of total requests
[Wed Aug 10 2016 03:07:02 GMT+0300 (Беларусь (зима))] INFO Requests: 514337, requests per second: 1990, mean latency: 490 ms
[Wed Aug 10 2016 03:07:02 GMT+0300 (Беларусь (зима))] INFO Errors: 151, accumulated errors: 11070, 2.2% of total requests
[Wed Aug 10 2016 03:07:07 GMT+0300 (Беларусь (зима))] INFO Requests: 525926, requests per second: 2319, mean latency: 440 ms
[Wed Aug 10 2016 03:07:07 GMT+0300 (Беларусь (зима))] INFO Errors: 56, accumulated errors: 11126, 2.1% of total requests
[Wed Aug 10 2016 03:07:12 GMT+0300 (Беларусь (зима))] INFO Requests: 534702, requests per second: 1766, mean latency: 570 ms
[Wed Aug 10 2016 03:07:12 GMT+0300 (Беларусь (зима))] INFO Errors: 6, accumulated errors: 11132, 2.1% of total requests
